[2.644s][info][gc,metaspace] GC(10) Metaspace: 1725K(1792K)->1725K(1792K) NonClass: 1583K(1600K)->1583K(1600K) Class: 142K(192K)->142K(192K)
[2.644s][info][gc          ] GC(10) Pause Young (Normal) (G1 Evacuation Pause) 825M->149M(2130M) 40.133ms
[2.644s][info][gc,cpu      ] GC(10) User=0.33s Sys=0.14s Real=0.04s
[2.905s][info][gc,start    ] GC(11) Pause Young (Normal) (G1 Evacuation Pause)
[2.905s][info][gc,task     ] GC(11) Using 10 workers of 10 for evacuation
[2.930s][info][gc,phases   ] GC(11)   Pre Evacuate Collection Set: 0.2ms
[2.930s][info][gc,phases   ] GC(11)   Merge Heap Roots: 0.6ms
[2.930s][info][gc,phases   ] GC(11)   Evacuate Collection Set: 23.0ms
[2.930s][info][gc,phases   ] GC(11)   Post Evacuate Collection Set: 0.4ms
[2.930s][info][gc,phases   ] GC(11)   Other: 0.1ms
[2.930s][info][gc,heap     ] GC(11) Eden regions: 268->0(617)
[2.930s][info][gc,heap     ] GC(11) Survivor regions: 31->22(38)
[2.930s][info][gc,heap     ] GC(11) Old regions: 33->50
[2.930s][info][gc,heap     ] GC(11) Humongous regions: 11->11
[2.930s][info][gc,metaspace] GC(11) Metaspace: 1744K(1856K)->1744K(1856K) NonClass: 1601K(1664K)->1601K(1664K) Class: 143K(192K)->143K(192K)
[2.930s][info][gc          ] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 685M->165M(2130M) 24.568ms
[2.930s][info][gc,cpu      ] GC(11) User=0.31s Sys=0.00s Real=0.02s
[3.486s][info][gc,start    ] GC(12) Pause Young (Normal) (G1 Evacuation Pause)
[3.486s][info][gc,task     ] GC(12) Using 10 workers of 10 for evacuation
[3.511s][info][gc,phases   ] GC(12)   Pre Evacuate Collection Set: 0.2ms
[3.511s][info][gc,phases   ] GC(12)   Merge Heap Roots: 0.4ms
[3.511s][info][gc,phases   ] GC(12)   Evacuate Collection Set: 23.4ms
[3.511s][info][gc,phases   ] GC(12)   Post Evacuate Collection Set: 0.6ms
[3.511s][info][gc,phases   ] GC(12)   Other: 0.1ms
[3.511s][info][gc,heap     ] GC(12) Eden regions: 617->0(602)
[3.511s][info][gc,heap     ] GC(12) Survivor regions: 22->37(80)
[3.511s][info][gc,heap     ] GC(12) Old regions: 50->50
[3.511s][info][gc,heap     ] GC(12) Humongous regions: 11->11
[3.511s][info][gc,metaspace] GC(12) Metaspace: 1744K(1856K)->1744K(1856K) NonClass: 1601K(1664K)->1601K(1664K) Class: 143K(192K)->143K(192K)
[3.511s][info][gc          ] GC(12) Pause Young (Normal) (G1 Evacuation Pause) 1399M->195M(2130M) 25.058ms
[3.511s][info][gc,cpu      ] GC(12) User=0.14s Sys=0.02s Real=0.03s
[4.025s][info][gc,start    ] GC(13) Pause Young (Normal) (G1 Evacuation Pause)
[4.025s][info][gc,task     ] GC(13) Using 10 workers of 10 for evacuation
[4.054s][info][gc,phases   ] GC(13)   Pre Evacuate Collection Set: 0.2ms
[4.054s][info][gc,phases   ] GC(13)   Merge Heap Roots: 0.4ms
[4.054s][info][gc,phases   ] GC(13)   Evacuate Collection Set: 27.1ms
[4.054s][info][gc,phases   ] GC(13)   Post Evacuate Collection Set: 0.6ms
[4.054s][info][gc,phases   ] GC(13)   Other: 0.1ms
[4.054s][info][gc,heap     ] GC(13) Eden regions: 602->0(581)
[4.054s][info][gc,heap     ] GC(13) Survivor regions: 37->58(80)
[4.054s][info][gc,heap     ] GC(13) Old regions: 50->50
[4.054s][info][gc,heap     ] GC(13) Humongous regions: 13->11
[4.054s][info][gc,metaspace] GC(13) Metaspace: 1744K(1856K)->1744K(1856K) NonClass: 1601K(1664K)->1601K(1664K) Class: 143K(192K)->143K(192K)
[4.054s][info][gc          ] GC(13) Pause Young (Normal) (G1 Evacuation Pause) 1403M->236M(2130M) 28.659ms
[4.054s][info][gc,cpu      ] GC(13) User=0.28s Sys=0.03s Real=0.03s
[4.580s][info][gc,start    ] GC(14) Pause Young (Normal) (G1 Evacuation Pause)
[4.580s][info][gc,task     ] GC(14) Using 10 workers of 10 for evacuation
[4.619s][info][gc,phases   ] GC(14)   Pre Evacuate Collection Set: 0.2ms
[4.619s][info][gc,phases   ] GC(14)   Merge Heap Roots: 0.5ms
[4.619s][info][gc,phases   ] GC(14)   Evacuate Collection Set: 37.7ms
[4.619s][info][gc,phases   ] GC(14)   Post Evacuate Collection Set: 0.6ms
[4.619s][info][gc,phases   ] GC(14)   Other: 0.1ms
[4.619s][info][gc,heap     ] GC(14) Eden regions: 581->0(593)
[4.619s][info][gc,heap     ] GC(14) Survivor regions: 58->46(80)
[4.619s][info][gc,heap     ] GC(14) Old regions: 50->73
[4.619s][info][gc,heap     ] GC(14) Humongous regions: 12->11
[4.619s][info][gc,metaspace] GC(14) Metaspace: 1751K(1856K)->1751K(1856K) NonClass: 1608K(1664K)->1608K(1664K) Class: 143K(192K)->143K(192K)
[4.619s][info][gc          ] GC(14) Pause Young (Normal) (G1 Evacuation Pause) 1400M->258M(2130M) 39.349ms
[4.619s][info][gc,cpu      ] GC(14) User=0.31s Sys=0.00s Real=0.04s
[5.144s][info][gc,start    ] GC(15) Pause Young (Normal) (G1 Evacuation Pause)
[5.144s][info][gc,task     ] GC(15) Using 10 workers of 10 for evacuation
[5.182s][info][gc,phases   ] GC(15)   Pre Evacuate Collection Set: 0.2ms
[5.182s][info][gc,phases   ] GC(15)   Merge Heap Roots: 0.6ms
[5.182s][info][gc,phases   ] GC(15)   Evacuate Collection Set: 35.6ms
[5.182s][info][gc,phases   ] GC(15)   Post Evacuate Collection Set: 0.7ms
[5.182s][info][gc,phases   ] GC(15)   Other: 0.1ms
[5.182s][info][gc,heap     ] GC(15) Eden regions: 593->0(574)
[5.182s][info][gc,heap     ] GC(15) Survivor regions: 46->65(80)
[5.182s][info][gc,heap     ] GC(15) Old regions: 73->82
[5.182s][info][gc,heap     ] GC(15) Humongous regions: 24->20
[5.182s][info][gc,metaspace] GC(15) Metaspace: 1752K(1856K)->1752K(1856K) NonClass: 1609K(1664K)->1609K(1664K) Class: 143K(192K)->143K(192K)
[5.182s][info][gc          ] GC(15) Pause Young (Normal) (G1 Evacuation Pause) 1470M->332M(2130M) 37.463ms
[5.182s][info][gc,cpu      ] GC(15) User=0.31s Sys=0.00s Real=0.04s
[5.714s][info][gc,start    ] GC(16) Pause Young (Normal) (G1 Evacuation Pause)
[5.714s][info][gc,task     ] GC(16) Using 10 workers of 10 for evacuation
[5.750s][info][gc,phases   ] GC(16)   Pre Evacuate Collection Set: 0.2ms
[5.750s][info][gc,phases   ] GC(16)   Merge Heap Roots: 0.4ms
[5.750s][info][gc,phases   ] GC(16)   Evacuate Collection Set: 34.5ms
[5.750s][info][gc,phases   ] GC(16)   Post Evacuate Collection Set: 0.6ms
[5.750s][info][gc,phases   ] GC(16)   Other: 0.1ms
[5.750s][info][gc,heap     ] GC(16) Eden regions: 574->0(584)
[5.750s][info][gc,heap     ] GC(16) Survivor regions: 65->55(80)
[5.750s][info][gc,heap     ] GC(16) Old regions: 82->106
[5.750s][info][gc,heap     ] GC(16) Humongous regions: 27->20
[5.750s][info][gc,metaspace] GC(16) Metaspace: 1752K(1856K)->1752K(1856K) NonClass: 1609K(1664K)->1609K(1664K) Class: 143K(192K)->143K(192K)
[5.750s][info][gc          ] GC(16) Pause Young (Normal) (G1 Evacuation Pause) 1494M->359M(2130M) 36.090ms
[5.750s][info][gc,cpu      ] GC(16) User=0.31s Sys=0.00s Real=0.04s
[6.270s][info][gc,start    ] GC(17) Pause Young (Normal) (G1 Evacuation Pause)
[6.270s][info][gc,task     ] GC(17) Using 10 workers of 10 for evacuation
[6.302s][info][gc,phases   ] GC(17)   Pre Evacuate Collection Set: 0.2ms
[6.302s][info][gc,phases   ] GC(17)   Merge Heap Roots: 0.4ms
[6.302s][info][gc,phases   ] GC(17)   Evacuate Collection Set: 30.7ms
[6.302s][info][gc,phases   ] GC(17)   Post Evacuate Collection Set: 0.7ms
[6.302s][info][gc,phases   ] GC(17)   Other: 0.1ms
[6.302s][info][gc,heap     ] GC(17) Eden regions: 584->0(582)
[6.302s][info][gc,heap     ] GC(17) Survivor regions: 55->57(80)
[6.302s][info][gc,heap     ] GC(17) Old regions: 106->128
[6.302s][info][gc,heap     ] GC(17) Humongous regions: 21->20
[6.302s][info][gc,metaspace] GC(17) Metaspace: 1752K(1856K)->1752K(1856K) NonClass: 1609K(1664K)->1609K(1664K) Class: 143K(192K)->143K(192K)
[6.302s][info][gc          ] GC(17) Pause Young (Normal) (G1 Evacuation Pause) 1529M->408M(2130M) 32.477ms
[6.302s][info][gc,cpu      ] GC(17) User=0.31s Sys=0.00s Real=0.03s
[6.815s][info][gc,start    ] GC(18) Pause Young (Normal) (G1 Evacuation Pause)
[6.815s][info][gc,task     ] GC(18) Using 10 workers of 10 for evacuation
[6.849s][info][gc,phases   ] GC(18)   Pre Evacuate Collection Set: 0.2ms
[6.849s][info][gc,phases   ] GC(18)   Merge Heap Roots: 0.4ms
[6.849s][info][gc,phases   ] GC(18)   Evacuate Collection Set: 33.1ms
[6.849s][info][gc,phases   ] GC(18)   Post Evacuate Collection Set: 0.6ms
[6.849s][info][gc,phases   ] GC(18)   Other: 0.1ms
[6.849s][info][gc,heap     ] GC(18) Eden regions: 582->0(581)
[6.849s][info][gc,heap     ] GC(18) Survivor regions: 57->58(80)
[6.849s][info][gc,heap     ] GC(18) Old regions: 128->158
[6.849s][info][gc,heap     ] GC(18) Humongous regions: 23->20
[6.849s][info][gc,metaspace] GC(18) Metaspace: 1753K(1856K)->1753K(1856K) NonClass: 1610K(1664K)->1610K(1664K) Class: 143K(192K)->143K(192K)
[6.849s][info][gc          ] GC(18) Pause Young (Normal) (G1 Evacuation Pause) 1578M->470M(2130M) 34.735ms
[6.849s][info][gc,cpu      ] GC(18) User=0.31s Sys=0.00s Real=0.04s
[7.360s][info][gc,start    ] GC(19) Pause Young (Normal) (G1 Evacuation Pause)
[7.360s][info][gc,task     ] GC(19) Using 10 workers of 10 for evacuation
[7.397s][info][gc,phases   ] GC(19)   Pre Evacuate Collection Set: 0.2ms
[7.397s][info][gc,phases   ] GC(19)   Merge Heap Roots: 0.4ms
[7.397s][info][gc,phases   ] GC(19)   Evacuate Collection Set: 35.2ms
[7.397s][info][gc,phases   ] GC(19)   Post Evacuate Collection Set: 0.7ms
[7.397s][info][gc,phases   ] GC(19)   Other: 0.1ms
[7.397s][info][gc,heap     ] GC(19) Eden regions: 581->0(581)
[7.397s][info][gc,heap     ] GC(19) Survivor regions: 58->58(80)
[7.397s][info][gc,heap     ] GC(19) Old regions: 158->197
[7.397s][info][gc,heap     ] GC(19) Humongous regions: 22->20
[7.397s][info][gc,metaspace] GC(19) Metaspace: 1753K(1856K)->1753K(1856K) NonClass: 1610K(1664K)->1610K(1664K) Class: 143K(192K)->143K(192K)
[7.397s][info][gc          ] GC(19) Pause Young (Normal) (G1 Evacuation Pause) 1636M->548M(2130M) 36.837ms
[7.397s][info][gc,cpu      ] GC(19) User=0.31s Sys=0.00s Real=0.04s
[7.902s][info][gc,start    ] GC(20) Pause Young (Normal) (G1 Evacuation Pause)
[7.902s][info][gc,task     ] GC(20) Using 10 workers of 10 for evacuation
[7.941s][info][gc,phases   ] GC(20)   Pre Evacuate Collection Set: 0.2ms
[7.941s][info][gc,phases   ] GC(20)   Merge Heap Roots: 0.4ms
[7.941s][info][gc,phases   ] GC(20)   Evacuate Collection Set: 37.6ms
[7.941s][info][gc,phases   ] GC(20)   Post Evacuate Collection Set: 0.6ms
[7.941s][info][gc,phases   ] GC(20)   Other: 0.1ms
[7.941s][info][gc,heap     ] GC(20) Eden regions: 581->0(583)
[7.941s][info][gc,heap     ] GC(20) Survivor regions: 58->56(80)
[7.941s][info][gc,heap     ] GC(20) Old regions: 197->247
[7.941s][info][gc,heap     ] GC(20) Humongous regions: 20->20
[7.941s][info][gc,metaspace] GC(20) Metaspace: 1753K(1856K)->1753K(1856K) NonClass: 1610K(1664K)->1610K(1664K) Class: 143K(192K)->143K(192K)
[7.942s][info][gc          ] GC(20) Pause Young (Normal) (G1 Evacuation Pause) 1710M->643M(2130M) 39.149ms
[7.942s][info][gc,cpu      ] GC(20) User=0.47s Sys=0.00s Real=0.04s
[8.451s][info][gc,start    ] GC(21) Pause Young (Normal) (G1 Evacuation Pause)
[8.451s][info][gc,task     ] GC(21) Using 10 workers of 10 for evacuation
[8.493s][info][gc,phases   ] GC(21)   Pre Evacuate Collection Set: 0.2ms
[8.493s][info][gc,phases   ] GC(21)   Merge Heap Roots: 0.4ms
[8.493s][info][gc,phases   ] GC(21)   Evacuate Collection Set: 40.8ms
[8.493s][info][gc,phases   ] GC(21)   Post Evacuate Collection Set: 0.6ms
[8.493s][info][gc,phases   ] GC(21)   Other: 0.1ms
[8.493s][info][gc,heap     ] GC(21) Eden regions: 583->0(536)
[8.493s][info][gc,heap     ] GC(21) Survivor regions: 56->58(80)
[8.493s][info][gc,heap     ] GC(21) Old regions: 247->305
[8.493s][info][gc,heap     ] GC(21) Humongous regions: 21->20
[8.493s][info][gc,metaspace] GC(21) Metaspace: 1753K(1856K)->1753K(1856K) NonClass: 1610K(1664K)->1610K(1664K) Class: 143K(192K)->143K(192K)
[8.493s][info][gc          ] GC(21) Pause Young (Normal) (G1 Evacuation Pause) 1811M->762M(2130M) 42.333ms
[8.493s][info][gc,cpu      ] GC(21) User=0.42s Sys=0.05s Real=0.04s
[8.972s][info][gc,start    ] GC(22) Pause Young (Normal) (G1 Evacuation Pause)
[8.972s][info][gc,task     ] GC(22) Using 10 workers of 10 for evacuation
